epoch,loss,mean_io_u_1,val_loss,val_mean_io_u_1
0,0.07114630668125861,0.8568387,0.03645162162506004,0.93348813
1,0.051343417735018194,0.8918693,0.0325316184843905,0.9363743
2,0.038701054025551476,0.89657915,0.03231749812012822,0.9377237
3,0.045903482428523795,0.8959012,0.031704506721002515,0.93733513
4,0.04363162247054352,0.8959338,0.03266225761100373,0.93683875
5,0.03130355518303924,0.8988708,0.03283986355590056,0.9385778
6,0.045208909411230375,0.8989434,0.032069361827519745,0.938942
7,0.034518322465269875,0.8980899,0.03325747278584756,0.93967956
8,0.03739089336434596,0.90065944,0.03398869914387017,0.9404445
9,0.03827898771497797,0.8996676,0.03209897721373237,0.93965995
10,0.04943255624136291,0.8958759,0.030998943312107466,0.9388374
11,0.03818407925659117,0.89205503,0.031141081782690053,0.93554497
12,0.04515090105518239,0.8967037,0.030473129819821025,0.9379203
13,0.03284213966515725,0.89484406,0.032048465564611564,0.93579245
14,0.038746411514664784,0.8935155,0.03445920148746675,0.9366183
15,0.03713236297453244,0.8979683,0.030651019712162227,0.9384136
16,0.033614322040486866,0.89905334,0.041593353077076844,0.934145
17,0.037865443715626224,0.9020554,0.03247145229611255,0.9413706
18,0.0333886533493735,0.89747244,0.030662264953606303,0.93992716
19,0.03535507387559291,0.90195525,0.032051901532108566,0.9425742
